אֵב	ev
תַּעֲרוּכָה עוֹלָמִית	taarukha olamit
תַּעֲשֶׂה	taase
תַּעֲשׂוּ	taasu
תַּעֲשׂוּן	taasun
תַּפּוּז	tapuz
תַּפּוּחִים	tapukhim
תַּפּוּחֵי עֵץ	tapuche etz
תֻּפִּים	tupim
תְּפִירָה	tfira
תְּפִישָׂה	tfisa
תְּפִלָּה	tfila
תָּפַס	tafas
תַּפְקִיד	tafqid
תָּפַר	tafar
תַּפְרִיט	tafrit
תַּצְלִיל	tatzlil
תִּקְוָה	tikva
תְּקוּפוֹת	tkufot
תִּקַּח	tikach
תקטולת	tiktolet, tiqtolet
תְּקִיעָה	tkia
תַּקָּלָה	taqala
תֶּקַע	teka
תַּקְצִיב	taktsiv
תַּקְרֶאנָה	takrena
תִּקְרֶאנָה	tikrena
תַּקְרִב	takriv
תִּקְרַב	tikrav
תִּקְרָה	tikra
תִּקְשֹׁרֶת	tikshoret
תָּר	tar
תַּרְבּוּת	tarbut
תִּרְגּוּם	tirgum
תִּרְגֵּל	tirgel
תִּרְגֵּם	tirgem
תַּרְדֵּמָה	tardema
תְּרוּעָה	trua
תְּרוּפָה	trufa
תֶּרַח	terah
תְּרֵיסָר	tresar
תַּרְנְגוֹל	tarnegol
תַּרְנְגֹלֶת	tarnegolet
תַּרְנְהוֹד	tarnhod
תַּשְׁבֵּץ	tashbets
תַּשְׁדִּיר	tashdir
תַּשְׁדִּיר־שֵׁרוּת	tashdir-sherut
תְּשׂוּאָה	tsua
תְּשׂואוֹת	tsuot
תְּשׁוּבָה	tshuva
תְּשׁוּבַת־	tshuvat
תַּשְׁחֵץ	tashkhets
תְּשִׁיעִי	tshii
תַּשְׁלוּם	tashlum
תַּשְׁלִיךְ	tashlich
תַּשְׁלִיכֻהוּ	tashlichuhu
תִּשְׁעִים	tishim
תִּשְׁרֵי	tishrei
תַּתְרָן	tatran
תַּתְרָנִית	tatranit
